"Date","Canada","Ireland","US","Sweden"
1985-01-01,106.925926208496,58.7773687861256,103.748802185059,126.4307365
1985-02-01,114.699378967285,57.3723783429961,78.3132019042969,98.60890444
1985-03-01,79.5883026123047,55.9673878998667,100.76148223877,112.8506256
1985-04-01,73.3759918212891,152.20643851135,84.7788696289062,111.1405983
1985-05-01,75.6022338867188,179.654706743919,98.0536575317383,130.9460701
1985-06-01,43.1403694152832,84.9467703205666,119.597145080566,103.2694615
1985-07-01,73.3982849121094,112.171143281955,111.415107727051,141.3506939
1985-08-01,91.5768203735352,122.132598454861,111.247009277344,139.7367665
1985-09-01,80.4455795288086,60.2951725771407,111.184463500977,123.322968
1985-10-01,92.5624618530273,83.1682196414946,93.0991058349609,103.2457678
1985-11-01,57.9124794006348,106.041266705848,85.0991287231445,115.4347259
1985-12-01,65.7647933959961,179.991688404781,104.177215576172,105.0577358
1986-01-01,91.1053161621094,117.831797122886,144.266479492188,110.8499388
1986-02-01,96.9687042236328,63.3607240679421,118.993537902832,116.8797744
1986-03-01,86.9067840576172,107.871652829975,120.160049438477,101.0462956
1986-04-01,69.2233810424805,116.22053229145,102.477355957031,109.6209319
1986-05-01,93.3543319702148,106.346440521443,132.386169433594,104.091582
1986-06-01,58.4930267333984,88.2148580799241,115.052291870117,143.1792856
1986-07-01,85.9998474121094,29.4620338549423,130.821060180664,157.5901109
1986-08-01,91.5278625488281,66.0389085196096,118.302597045898,128.8229636
1986-09-01,119.690231323242,56.9117954096274,125.894218444824,97.67646122
1986-10-01,76.7775726318359,152.771854879696,91.8204650878906,94.72961374
1986-11-01,64.2598571777344,80.1812030799411,98.3289413452148,103.2240438
1986-12-01,78.6656188964844,77.0973106537895,87.9796829223633,129.7491722
1987-01-01,74.6827774047852,183.992080959888,110.433319091797,118.9743565
1987-02-01,67.5973358154297,63.3418357912786,76.9660720825195,79.89761095
1987-03-01,36.3046760559082,83.9621396846064,99.0595855712891,97.2852674
1987-04-01,70.4270858764648,85.7928081407176,79.532356262207,97.04760533
1987-05-01,81.23486328125,55.6303673679392,87.5850524902344,93.81301261
1987-06-01,72.8196716308594,54.3497092113682,106.572853088379,97.48987556
