"Date","Brazil","Canada","France","Ireland","Japan","Korea","US","Sweden"
1991-01-01,111.854377746582,182.074081420898,102.56120300293,162.653882236676,83.2520951784061,78.8904800415039,204.010543823242,136.3667365
1991-02-01,146.82421875,129.966064453125,120.204612731934,151.836635816667,84.6808136180633,65.6836547851562,106.518058776855,125.3643566
1991-03-01,124.65119934082,145.063400268555,129.198303222656,165.289916889805,78.7554215106287,65.2398681640625,107.937484741211,94.9684376
1991-04-01,153.107681274414,128.067123413086,120.837280273438,56.9575628365752,78.357725348291,52.1923027038574,93.0146408081055,106.7084048
1991-05-01,119.104202270508,92.5836868286133,116.281135559082,128.932153010828,77.6796160340546,34.9685401916504,82.1478271484375,103.0608616
1991-06-01,63.6128578186035,93.472900390625,149.964324951172,143.315923487012,61.227576012008,46.4342803955078,85.9190368652344,109.0406244
1991-07-01,86.6436767578125,90.3523254394531,98.3504943847656,134.754051345665,73.417805944575,29.320182800293,80.6489944458008,150.5863875
1991-08-01,68.6040191650391,76.4275054931641,97.8092269897461,92.2489963076023,85.5330056025143,127.977394104004,99.1220855712891,132.2282144
1991-09-01,79.2405395507812,115.773445129395,76.7636642456055,58.8180451659083,82.7515861009038,84.7468643188477,127.294441223145,129.1572425
1991-10-01,136.584884643555,133.407119750977,128.879058837891,144.741272589812,81.3668293253716,38.9707984924316,108.120964050293,114.323904
1991-11-01,143.633285522461,112.891151428223,99.0020751953125,80.0603572576654,84.0165966914044,142.008499145508,140.612365722656,118.981835
1991-12-01,59.7756233215332,137.794662475586,103.479682922363,182.438627500152,87.4867416312229,152.4228515625,171.010971069336,140.8488192
1992-01-01,67.2791366577148,127.425773620605,64.890869140625,153.837379207822,85.2857373833098,68.0664138793945,116.364852905273,118.3791022
1992-02-01,76.4619598388672,114.88916015625,73.6872787475586,117.311353022412,78.3838227820788,35.3237228393555,154.596923828125,124.9244648
1992-03-01,12.8434944152832,136.233810424805,68.8031845092773,86.1406168223691,77.1674351877883,35.2961196899414,96.8284225463867,121.1600328
1992-04-01,34.6215934753418,114.840965270996,86.3440933227539,138.351470348902,86.2848245135902,68.3915786743164,89.8542327880859,120.5393881
1992-05-01,16.7013530731201,73.9991912841797,112.586433410645,155.038444481462,81.6424975774206,46.310718536377,78.6804733276367,96.89199518
1992-06-01,81.7866744995117,101.019332885742,138.456176757812,172.234683730217,93.1189645969728,35.906909942627,122.293502807617,120.513313
1992-07-01,107.31517791748,74.151741027832,125.345932006836,110.86886937743,102.554648789919,65.8140258789062,119.613182067871,106.2114808
1992-08-01,89.9044570922852,64.9137344360352,90.8367462158203,88.4842538153153,119.139314298101,70.0749969482422,122.407119750977,140.5211668
1992-09-01,126.911270141602,205.459274291992,220.304077148438,174.402343224496,107.944850700658,67.2144241333008,141.443237304688,167.2189747
1992-10-01,82.9887313842773,254.353912353516,165.472900390625,107.816916484508,95.1588959563433,94.0991363525391,161.25422668457,134.6302888
1992-11-01,135.096374511719,132.293579101562,139.113311767578,57.6373764171555,97.4741394723332,115.837760925293,108.15007019043,117.2847885
1992-12-01,125.348167419434,112.21630859375,121.137977600098,204.729706418845,79.4239245629187,127.093017578125,87.8720932006836,123.6422448
1993-01-01,128.731552124023,102.592254638672,129.536987304688,93.6723827311582,70.6038405845881,78.6381225585938,83.4649810791016,128.6340262
1993-02-01,78.5081176757812,91.4481811523438,99.1498184204102,154.531045935886,82.0942796592469,62.4916687011719,106.976119995117,114.8884396
1993-03-01,123.476379394531,120.154670715332,142.020401000977,101.616541445167,79.9033063765379,50.9300117492676,109.796813964844,140.0947514
1993-04-01,76.8023300170898,89.4331588745117,129.257598876953,29.7507964382307,76.349946971211,51.7467651367188,89.651123046875,104.4606837
1993-05-01,113.688430786133,108.104721069336,163.310333251953,77.125295158564,73.0720886431982,35.0192718505859,133.505752563477,121.0914541
1993-06-01,56.7496490478516,86.6684875488281,119.878456115723,54.3984096676508,87.7328487623713,77.1845855712891,120.680061340332,126.6048949
1993-07-01,75.4272842407227,121.660675048828,114.905403137207,111.626051043785,88.2972153766092,68.0271453857422,106.502990722656,142.1429238
1993-08-01,91.9224700927734,109.615943908691,63.6919746398926,95.6256472375535,95.0279097986842,185.096130371094,115.576171875,124.6943571
1993-09-01,91.6465911865234,128.023132324219,88.6894302368164,52.2835108665954,97.5015604065999,74.0445556640625,116.027297973633,119.1969219
1993-10-01,99.8342056274414,124.169868469238,88.7453231811523,102.523613105835,89.8296203958485,64.3923034667969,78.8225173950195,114.6211422
1993-11-01,36.0548286437988,105.749633789062,126.645057678223,78.4252662998932,95.5000459273933,109.66512298584,89.2574996948242,113.8706485
1993-12-01,143.661758422852,92.6097259521484,105.483016967773,76.3676248335368,124.655221324858,49.1621742248535,77.2720184326172,129.0307043
1994-01-01,104.131103515625,76.5568542480469,109.182205200195,140.622229094536,109.883270975794,83.1453170776367,82.2928009033203,122.0100581
1994-02-01,158.276245117188,69.1122512817383,95.949089050293,79.5111094531036,97.4771420014172,61.2951545715332,96.1456527709961,121.3113533
1994-03-01,107.248054504395,140.494552612305,78.7513885498047,68.4757293463886,93.3066496990513,28.1335773468018,83.2268829345703,118.9405012
1994-04-01,110.323135375977,161.958251953125,74.1596832275391,119.9368865217,95.6771462551006,44.3980445861816,106.354446411133,113.8579132
1994-05-01,122.610816955566,115.258193969727,86.5576171875,95.0588024435047,92.5072465289631,45.7522239685059,94.5038833618164,105.9131861
1994-06-01,113.00463104248,186.314895629883,136.336349487305,124.504973726617,86.5895033318541,94.2495803833008,87.4688949584961,126.9722489
